2022/03/28 08:35:53 - DEBUG - 38 - create_dir - Succeed in creating directory: data/netcore
2022/03/28 09:04:00 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/96/cid/12.html HTTP/1.1" 200 5031
2022/03/28 09:04:00 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:01 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/97/cid/12.html HTTP/1.1" 200 4623
2022/03/28 09:04:01 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:01 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/98/cid/12.html HTTP/1.1" 200 4612
2022/03/28 09:04:01 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:02 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/99/cid/12.html HTTP/1.1" 200 4614
2022/03/28 09:04:02 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:03 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/100/cid/12.html HTTP/1.1" 200 4620
2022/03/28 09:04:03 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:03 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/101/cid/12.html HTTP/1.1" 200 4610
2022/03/28 09:04:03 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:04 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/102/cid/12.html HTTP/1.1" 200 3108
2022/03/28 09:04:04 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:05 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/103/cid/12.html HTTP/1.1" 200 4584
2022/03/28 09:04:05 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:05 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET /portal/list/index/id/12.html?id=12&page=2 HTTP/1.1" 200 5472
2022/03/28 09:04:05 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:06 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/104/cid/12.html HTTP/1.1" 200 4636
2022/03/28 09:04:06 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:06 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/105/cid/12.html HTTP/1.1" 200 4667
2022/03/28 09:04:06 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:07 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/629/cid/12.html HTTP/1.1" 200 4672
2022/03/28 09:04:07 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
