2022/03/28 09:45:03 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:04 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1883 HTTP/1.1" 200 None
2022/03/28 09:45:04 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:04 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1884 HTTP/1.1" 200 None
2022/03/28 09:45:04 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:05 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1885 HTTP/1.1" 200 None
2022/03/28 09:45:05 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:05 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1886 HTTP/1.1" 200 None
2022/03/28 09:45:05 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:06 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2297 HTTP/1.1" 200 None
2022/03/28 09:45:06 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:06 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2387 HTTP/1.1" 200 None
2022/03/28 09:45:06 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:07 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2026 HTTP/1.1" 200 None
2022/03/28 09:45:07 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:07 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2027 HTTP/1.1" 200 None
2022/03/28 09:45:08 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:08 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2028 HTTP/1.1" 200 None
2022/03/28 09:45:08 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:09 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2029 HTTP/1.1" 200 None
2022/03/28 09:45:09 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:09 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2021 HTTP/1.1" 200 None
2022/03/28 09:45:09 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:10 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2022 HTTP/1.1" 200 None
2022/03/28 09:45:10 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:10 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2023 HTTP/1.1" 200 None
2022/03/28 09:45:10 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:11 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2024 HTTP/1.1" 200 None
2022/03/28 09:45:11 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:11 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2025 HTTP/1.1" 200 None
2022/03/28 09:45:11 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:12 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1822 HTTP/1.1" 200 None
2022/03/28 09:45:12 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:12 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2102 HTTP/1.1" 200 None
2022/03/28 09:45:13 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:13 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2121 HTTP/1.1" 200 None
2022/03/28 09:45:13 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:13 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2481 HTTP/1.1" 200 None
2022/03/28 09:45:14 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:14 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2462 HTTP/1.1" 200 None
2022/03/28 09:45:14 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:15 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2184 HTTP/1.1" 200 None
2022/03/28 09:45:15 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:15 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2166 HTTP/1.1" 200 None
2022/03/28 09:45:15 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:16 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2210 HTTP/1.1" 200 None
2022/03/28 09:45:16 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:16 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2298 HTTP/1.1" 200 None
2022/03/28 09:45:16 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:17 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2260 HTTP/1.1" 200 None
2022/03/28 09:45:17 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:17 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2344 HTTP/1.1" 200 None
2022/03/28 09:45:17 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:18 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2377 HTTP/1.1" 200 None
2022/03/28 09:45:18 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:18 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2296 HTTP/1.1" 200 None
2022/03/28 09:45:18 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:19 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2348 HTTP/1.1" 200 None
2022/03/28 09:45:19 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:19 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2293 HTTP/1.1" 200 None
2022/03/28 09:45:19 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:20 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2444 HTTP/1.1" 200 None
2022/03/28 09:45:20 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:20 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2475 HTTP/1.1" 200 None
2022/03/28 09:45:20 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:21 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2319 HTTP/1.1" 200 None
2022/03/28 09:45:21 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:21 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2343 HTTP/1.1" 200 None
2022/03/28 09:45:22 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:22 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2443 HTTP/1.1" 200 None
2022/03/28 09:45:22 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:22 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1846 HTTP/1.1" 200 None
2022/03/28 09:45:23 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:23 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1850 HTTP/1.1" 200 None
2022/03/28 09:45:23 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:23 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2002 HTTP/1.1" 200 None
2022/03/28 09:45:24 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:24 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2003 HTTP/1.1" 200 None
2022/03/28 09:45:24 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:45:25 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1851 HTTP/1.1" 200 None
2022/03/28 09:45:25 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
