2022/03/28 09:37:54 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431474145&action=productfile&lang=zh-cn&ver=171 HTTP/1.1" 200 452
2022/03/28 09:37:54 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:02 - DEBUG - 40 - create_dir - Directory ../data/d_link already exists!
2022/03/28 09:39:02 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:02 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /AllPro.aspx HTTP/1.1" 200 58234
2022/03/28 09:39:02 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:03 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-1000 HTTP/1.1" 200 20979
2022/03/28 09:39:03 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:05 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-504N HTTP/1.1" 200 21174
2022/03/28 09:39:05 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:05 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431545584&action=productfile&lang=zh-cn&ver=5 HTTP/1.1" 200 381
2022/03/28 09:39:05 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:07 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-7100G HTTP/1.1" 200 33170
2022/03/28 09:39:07 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:07 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431547335&action=productfile&lang=zh-cn&ver=2261 HTTP/1.1" 200 304
2022/03/28 09:39:07 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:07 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431547489&action=productfile&lang=zh-cn&ver=2302 HTTP/1.1" 200 447
2022/03/28 09:39:07 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
