2022/03/28 09:43:05 - DEBUG - 38 - create_dir - Succeed in creating directory: data/mi
2022/03/28 09:43:23 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:24 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1CSTA&callback=jQuery151008536628338108021_1648431803725&_=1648431803725 HTTP/1.1" 200 None
2022/03/28 09:43:24 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:25 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1DDEV&callback=jQuery151005964688338095018_1648431804355&_=1648431804355 HTTP/1.1" 200 None
2022/03/28 09:43:25 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:26 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1DSTA&callback=jQuery151044433217408475867_1648431805434&_=1648431805434 HTTP/1.1" 200 None
2022/03/28 09:43:26 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:27 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R2DDEV&callback=jQuery151002449772427809046_1648431806475&_=1648431806475 HTTP/1.1" 200 None
2022/03/28 09:43:27 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:28 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1DANSTA&callback=jQuery151008473549493620036_1648431807439&_=1648431807439 HTTP/1.1" 200 None
2022/03/28 09:43:28 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:29 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1DANDEV&callback=jQuery151005901751828100852_1648431808525&_=1648431808525 HTTP/1.1" 200 None
2022/03/28 09:43:29 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:30 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1DIP&callback=jQuery151007247810731554711_1648431809585&_=1648431809585 HTTP/1.1" 200 None
2022/03/28 09:43:30 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:31 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=WiFiAN&callback=jQuery151005150560561011084_1648431810567&_=1648431810567 HTTP/1.1" 200 None
2022/03/28 09:43:31 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:32 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1CUSB&callback=jQuery151000785868156427049_1648431811602&_=1648431811602 HTTP/1.1" 200 None
2022/03/28 09:43:32 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:33 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R2DUSB&callback=jQuery151008190006453460855_1648431812532&_=1648431812532 HTTP/1.1" 200 None
2022/03/28 09:43:33 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:34 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1DUSB&callback=jQuery151003496467627687986_1648431813747&_=1648431813747 HTTP/1.1" 200 None
2022/03/28 09:43:34 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:35 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R1DUSB2&callback=jQuery151002858044862922202_1648431814705&_=1648431814705 HTTP/1.1" 200 None
2022/03/28 09:43:35 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:36 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R4STA&callback=jQuery151000559608635287286_1648431815739&_=1648431815739 HTTP/1.1" 200 None
2022/03/28 09:43:36 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:37 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R4CSTA&callback=jQuery151000800556464421047_1648431816623&_=1648431816623 HTTP/1.1" 200 None
2022/03/28 09:43:37 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:38 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=TFTPPC&callback=jQuery151009199867860983728_1648431817622&_=1648431817622 HTTP/1.1" 200 None
2022/03/28 09:43:38 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:39 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R4ASTA&callback=jQuery1510018362741845010744_1648431818246&_=1648431818246 HTTP/1.1" 200 None
2022/03/28 09:43:39 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:40 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R4ACSTA&callback=jQuery151009259460839493479_1648431819203&_=1648431819203 HTTP/1.1" 200 None
2022/03/28 09:43:40 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
